Category,Description,Qty,Notes
Fasteners,M5x40 SHCS,8,
,M5x30 BHCS,6,
,M5x16 BHCS,67,
,M5x10 BHCS,71,
,M5 Hexnut,8,
,M5 1mm Spacer,20,
,M5 T-nut,83,
,M4x6 BHCS,4,
,M3x40 SHCS,5,
,M3x30 SHCS,25,
,M3x20 SHCS,10,
,M3x16 SHCS,17,
,M3x12 SHCS,30,
,M3x8 SHCS,171,
,M3x6 BHCS,20,
,M3 Hexnut,7,
,M3 Washer,10,
,M3 T-nut,120,
,M3 Hammer Head T-nuts,54,
,M3 Threaded Insert,50,
,M3 Knurled Nut (DIN 466-B),3,
,M2x10 Self-Tapping Screw,7,
,Yellow Die Spring - M3,1,
Motion,GT2 20T Pulley (5mm ID 6mm W),3,
,GT2 20T Toothed Idler (5mm ID 6mm W),2,
,F695 Bearing,20,
,LM8LUU Linear Bearing,4,
,TR8x8 Leadscrew Nut,2,
,5x30mm Shaft,1,
,BMG Extruder Componnets Kit,1,
,Linear Rail MGN9H 350mm,4,
,Linear Shaft 8x320mm,4,
,GT2 Open Belt LL-2GT-6 (6mm wide) - 1890mm,2,
Vibration Management,Rubber Compressor Foot,4,
Electronics,NEMA17 Motor 17HS19-2004S,2,
,SPDT KW10 Limit Micro Switch,3,
,PL-08N Inductive Probe,1,
,E3D V6 Bowden Hotend Kit (24V),1,
,40x40x20 Centrifugal Fan (24V),1,
,40x40x10 Axial Fan (24V),1,
,Mini 12864 Display,1,
,Inlet Power Socket IEC320 C14,1,
,Keystone CAT6 Insert (Optional),1,
,60x60x20 Fan (24V),2,
,SKR 1.4,1,
,TMC2209 Stepper Motor Driver,5,
,USB Cable A-male B-male,1,
,Raspberry Pi 4,1,
,Mean Well LRS-200-24 PSU,1,
,Mean Well RS-25-5 PSU,1,
,Omron G3A-210B-DC5 SSR,1,
,DIN Rail Mount Bracket for G3A SSR,1,
,BAT85 Diode,1,
,C13 Power Cord,1,
,Thermal Fuse (120C),1,
,NEMA17 Motor 17HS08-1004S,1,
,NEMA17 TR8x8 300mm Linear Stepper,2,
Misc,Fume Extractor Carbon Filter Element,1,
,4mm Bowden Coupler,1,
,Bowden Tube (m),1,
,3M VHB Tape 5952,1,
,Loctite Blue Threadlocker Stick,1,
,Mobil EP2 Grease,1,
,Tesa Wire Loom Harness Tape,1,
,6x3mm Neodimium Magnet,8,
,PTFE Tube (4mm OD 3mm ID) - 1m,1,
Cables,Nylon Cable Ties 4",40,
,1/2" Braided Cable Sheathing (ft),5,
,20AWG Silicone Cable (ft),10,
,24AWG Silicone Cable (ft),100,
,Spade Crimp Terminal 4.8mm Female,10,
,JST XH Connector Plug 4 Position,5,
,JST XH Connector Plug 3 Position,4,
,JST XH Connector Plug 2 Position,2,
,JST XH Female Pin,40,
,MicroFit3 Connector Plug 4 Position,2,
,MicroFit3 Connector Plug 3 Position,1,
,MicroFit3 Connector Plug 2 Position,5,
,MicroFit3 Connector Receptacle 4 Position,2,
,MicroFit3 Connector Receptacle 3 Position,1,
,MicroFit3 Connector Receptacle 2 Position,5,
,MicroFit3 Female Pin,40,
,MicroFit3 Male Pin,40,
,10x11 Cable Chain - 1m, 2 End Sets,1,
Frame,DIN 3 Rails (35mm W) - 420mm,2,
,Misumi HFSB5-2020-290,1,
,Misumi HFSB5-2020-420-TPW,10,
,Misumi HFSB5-2020-420,1,
,Misumi HFSB5-2020-230,2,
,Misumi HFSB5-2020-380,1,
,Misumi HFSB5-2020-500-LTP-RCP-AV380-AP40,4,
,Misumi HFSB5-2020-200-TPW,2,
,Misumi HFSB5-2020-420-AH45-BH375,2,
Panels,Coroplast Sheet - 420x420x4 mm,1,
,Coroplast Sheet - 435x435x4 mm,1,
,Coroplast Sheet - 198x434x4 mm,1,
,Coroplast Sheet - 246x434x4 mm,1,
,Coroplast Sheet - 236x415x4 mm,1,
,Coroplast Sheet - 242x46x4 mm,2,
,Coroplast Sheet - 419x66x4 mm,1,
,Acrylic Sheet Clear - 217x444x2.5 mm,2,
,Acrylic Sheet Clear - 434x444x2.5 mm,2,
,Acrylic Sheet Clear - 434x434x2.5 mm,1,
Buildplate,3M 468MP Adhesive Sheet - 12"x12",1,
,PEI 0.04" Sheet - 12"x12",1,
,MIC6 5/16" Plate - 12"x12",1,
,Keenovo Silicone AC Heater w/ thermistor - 250x250mm (450W),1,
